timesteps,run_1,run_2,run_3,run_4,run_5,mean_return,std_return
495000,500.0,500.0,500.0,500.0,500.0,500.0,0.0
495250,500.0,500.0,500.0,500.0,500.0,500.0,0.0
495500,500.0,500.0,500.0,500.0,500.0,500.0,0.0
495750,500.0,500.0,500.0,387.53333333333336,500.0,477.50666666666666,44.98666666666665
496000,500.0,500.0,500.0,100.96666666666667,500.0,420.1933333333333,159.61333333333334
496250,500.0,500.0,500.0,500.0,441.26666666666665,488.2533333333333,23.49333333333334
496500,500.0,95.66666666666667,500.0,500.0,500.0,419.1333333333333,161.73333333333332
496750,500.0,153.5,500.0,500.0,500.0,430.7,138.60000000000002
497000,102.16666666666667,500.0,500.0,500.0,500.0,420.4333333333333,159.13333333333333
497250,92.26666666666667,500.0,500.0,500.0,500.0,418.45333333333326,163.09333333333333
497500,500.0,500.0,500.0,500.0,500.0,500.0,0.0
497750,500.0,500.0,500.0,500.0,500.0,500.0,0.0
498000,500.0,500.0,500.0,500.0,500.0,500.0,0.0
498250,90.5,500.0,500.0,500.0,500.0,418.1,163.8
498500,500.0,380.6333333333333,500.0,500.0,500.0,476.12666666666667,47.74666666666667
498750,500.0,284.56666666666666,500.0,500.0,500.0,456.9133333333333,86.17333333333333
499000,500.0,194.83333333333334,500.0,500.0,500.0,438.9666666666667,122.06666666666666
499250,491.46666666666664,149.5,500.0,500.0,110.53333333333333,350.3,180.3091246843721
499500,500.0,158.8,500.0,500.0,500.0,431.76000000000005,136.48000000000002
499750,500.0,98.16666666666667,500.0,500.0,500.0,419.6333333333333,160.73333333333332
500000,500.0,140.1,500.0,500.0,500.0,428.02,143.95999999999998
500250,500.0,127.06666666666666,500.0,500.0,500.0,425.4133333333333,149.17333333333335
500500,500.0,187.2,500.0,500.0,500.0,437.43999999999994,125.12000000000002
500750,109.66666666666667,163.86666666666667,500.0,500.0,500.0,354.70666666666665,178.77078359359135
501000,166.76666666666668,500.0,500.0,276.43333333333334,500.0,388.64,140.7275814393816
501250,195.1,500.0,500.0,76.4,500.0,354.3,182.3504976686381
501500,500.0,25.933333333333334,340.1666666666667,500.0,500.0,373.21999999999997,184.34752880843772
501750,500.0,106.3,500.0,217.26666666666668,500.0,364.7133333333333,169.36671272058678
502000,435.1,500.0,500.0,500.0,500.0,487.02,25.95999999999999
502250,500.0,500.0,500.0,500.0,482.26666666666665,496.45333333333326,7.093333333333339
502500,500.0,500.0,500.0,500.0,500.0,500.0,0.0
502750,500.0,500.0,486.3333333333333,500.0,500.0,497.2666666666666,5.466666666666674
503000,480.8333333333333,500.0,500.0,500.0,500.0,496.16666666666663,7.666666666666675
503250,500.0,500.0,500.0,500.0,500.0,500.0,0.0
503500,270.03333333333336,500.0,500.0,500.0,500.0,454.00666666666666,91.98666666666665
503750,500.0,500.0,500.0,500.0,500.0,500.0,0.0
504000,500.0,500.0,500.0,500.0,117.23333333333333,423.4466666666666,153.10666666666665
504250,500.0,500.0,500.0,500.0,500.0,500.0,0.0
504500,500.0,500.0,500.0,500.0,500.0,500.0,0.0
504750,500.0,500.0,500.0,500.0,500.0,500.0,0.0
505000,101.3,500.0,500.0,500.0,500.0,420.26000000000005,159.48
505250,106.7,500.0,500.0,500.0,465.1333333333333,414.3666666666667,154.42489148809887
505500,500.0,500.0,500.0,242.76666666666668,500.0,448.5533333333333,102.89333333333332
505750,500.0,500.0,500.0,500.0,500.0,500.0,0.0
506000,500.0,500.0,500.0,453.8666666666667,500.0,490.77333333333337,18.45333333333333
506250,500.0,500.0,500.0,500.0,500.0,500.0,0.0
506500,500.0,444.76666666666665,500.0,500.0,500.0,488.95333333333326,22.093333333333337
506750,500.0,500.0,500.0,500.0,500.0,500.0,0.0
507000,500.0,500.0,500.0,500.0,500.0,500.0,0.0
507250,130.03333333333333,322.8,500.0,500.0,500.0,390.5666666666667,147.23919466108353
507500,165.43333333333334,500.0,500.0,500.0,500.0,433.0866666666667,133.82666666666668
507750,500.0,500.0,500.0,500.0,500.0,500.0,0.0
508000,500.0,500.0,500.0,500.0,500.0,500.0,0.0
508250,500.0,500.0,115.86666666666666,500.0,500.0,423.17333333333335,153.65333333333334
